-1,,,,,,,Y
1,Private flight,,,,,,Y
2,135 Airways,,,GNL,GENERAL,United States,N
3,1Time Airline,,1T,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,,,WYT,,United Kingdom,N
5,213 Flight Unit,,,TFU,,Russia,N
6,223 Flight Unit State Airline,,,CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,,,TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,,,TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,,,SEC,SECUREX,United States,N
10,40-Mile Air,,Q5,MLA,MILE-AIR,United States,Y
11,4D Air,,,QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,,,THD,DONUT,Canada,N
13,Ansett Australia,,AN,AAA,ANSETT,Australia,Y
14,Abacus International,,1B,,,Singapore,Y
15,Abelag Aviation,,W9,AAB,ABG,Belgium,N
16,Army Air Corps,,,AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,,,AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,,,SII,ASEISA,Mexico,N
19,Aero Biniza,,,BZS,BINIZA,Mexico,N
20,Aero Albatros,,,ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,,ZI,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,,AQ,AAH,ALOHA,United States,Y
23,Alaska Island Air,,,AAK,ALASKA ISLAND,United States,N
24,American Airlines,,AA,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,,,AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),,,AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,,,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,,OZ,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,,4K,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,,,AAU,AUSTASIA,Australia,N
31,Astro Air International,,,AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,,8U,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,,Q9,AFU,,Gambia,N
34,Afric'air Express,,,AAX,AFREX,Ivory Coast,N
35,Allegiant Air,,G4,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,,,AAZ,ANGUS,Canada,N
37,Artem-Avia,,,ABA,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,,K5,ABE,ABAN,Iran,n
40,Aerial Oy,,,ABF,SKYWINGS,Finland,N
41,Abakan-Avia,,,ABG,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,,M3,TUS,ABSA Cargo,Brazil,Y
